variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	notes
EW033_RS04275	3.21E-01	7.75E-02	6.58E-02	6.07E-01	3.23E-01	-5.27E-01		
EW033_RS04280	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04285	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS04290	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04295	1.07E-01	8.80E-04	5.26E-02	9.63E-01	4.86E-01	-4.35E-01		
EW033_RS04300	1.43E-01	4.78E-01	5.31E-01	2.80E-01	4.43E-01	-3.72E-01		
EW033_RS04305	2.86E-01	2.67E-01	3.04E-01	3.54E-01	3.41E-01	-4.33E-01		
EW033_RS04310	2.14E-01	9.04E-01	9.10E-01	4.30E-02	3.79E-01	-3.41E-01		
EW033_RS04315	2.86E-01	7.88E-03	5.27E-03	9.32E-01	3.21E-01	-5.98E-01		
EW033_RS04320	2.86E-01	4.23E-01	4.34E-01	2.70E-01	3.43E-01	-4.09E-01		
EW033_RS04325	3.21E-01	7.53E-02	7.10E-02	5.96E-01	3.23E-01	-5.23E-01		
EW033_RS04330	4.29E-01	1.65E-01	1.65E-01	4.35E-01	3.09E-01	-5.19E-01		
EW033_RS04335	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04340	4.64E-01	3.77E-02	3.82E-02	6.37E-01	3.00E-01	-6.28E-01		
EW033_RS04345	3.21E-01	2.52E-01	2.51E-01	3.82E-01	3.29E-01	-4.55E-01		
EW033_RS04350	6.79E-01	2.05E-01	2.50E-01	3.83E-01	3.29E-01	-5.92E-01		
EW033_RS04355	7.86E-01	1.16E-01	1.48E-01	5.47E-01	3.72E-01	-7.61E-01		
EW033_RS04360	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04365	7.14E-02	9.80E-01	9.76E-01	1.84E-02	6.05E-01	-3.33E-01		
EW033_RS04370	1.07E-01	9.99E-01	9.99E-01	8.00E-04	5.04E-01	-3.32E-01		
EW033_RS04375	4.29E-01	8.57E-02	8.29E-02	5.41E-01	3.06E-01	-5.64E-01		
EW033_RS04380	3.57E-01	2.53E-01	2.63E-01	3.63E-01	3.21E-01	-4.62E-01		
EW033_RS04385	2.50E-01	5.80E-01	6.12E-01	1.83E-01	3.59E-01	-3.78E-01		
EW033_RS04390	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS04395	3.57E-02	2.16E-01	3.49E-01	7.86E-01	8.32E-01	-3.60E-01		
EW033_RS04400	4.29E-01	4.83E-02	4.91E-02	6.11E-01	3.04E-01	-5.94E-01		
EW033_RS04405	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04410	3.57E-01	1.54E-01	1.76E-01	4.38E-01	3.19E-01	-4.88E-01		
EW033_RS04415	1.07E-01	2.68E-01	2.64E-01	5.62E-01	4.98E-01	-3.92E-01		
EW033_RS04420	1.43E-01	1.55E-01	7.26E-02	7.91E-01	4.32E-01	-4.45E-01		
EW033_RS04425	1.79E-01	5.23E-01	5.80E-01	2.26E-01	4.05E-01	-3.72E-01		
EW033_RS04430	7.14E-02	4.05E-01	3.94E-01	5.16E-01	6.01E-01	-3.69E-01		
EW033_RS04435	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04440	2.14E-01	9.04E-01	9.10E-01	4.30E-02	3.79E-01	-3.41E-01		
EW033_RS04445	3.21E-01	7.75E-02	6.58E-02	6.07E-01	3.23E-01	-5.27E-01		
EW033_RS04450	2.50E-01	5.80E-01	6.12E-01	1.83E-01	3.59E-01	-3.78E-01		
EW033_RS04455	3.57E-01	2.61E-01	2.57E-01	3.68E-01	3.21E-01	-4.63E-01		
EW033_RS04460	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS04470	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04475	3.57E-01	1.79E-02	1.65E-02	7.62E-01	3.08E-01	-6.04E-01		
EW033_RS04480	1.07E-01	8.76E-01	8.82E-01	7.50E-02	5.03E-01	-3.40E-01		
EW033_RS04485	3.21E-01	1.37E-01	1.41E-01	4.89E-01	3.27E-01	-4.89E-01		
EW033_RS04490	1.43E-01	4.12E-01	3.98E-01	3.77E-01	4.42E-01	-3.86E-01		
EW033_RS04495	3.57E-01	1.71E-01	1.61E-01	4.53E-01	3.19E-01	-4.94E-01		
EW033_RS04510	3.04E-01	4.59E-01	4.64E-01	2.49E-01	3.37E-01	-4.07E-01		
EW033_RS04530	2.50E-01	5.80E-01	6.12E-01	1.83E-01	3.59E-01	-3.78E-01		
EW033_RS04535	2.86E-01	5.95E-01	6.14E-01	1.74E-01	3.44E-01	-3.82E-01		
EW033_RS04540	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04545	7.68E-01	3.40E-02	5.53E-02	6.98E-01	3.56E-01	-8.68E-01		
EW033_RS04550	2.14E-01	9.69E-01	9.68E-01	1.51E-02	3.80E-01	-3.35E-01		
EW033_RS04555	2.86E-01	2.19E-02	3.35E-02	7.21E-01	3.30E-01	-5.38E-01		
EW033_RS04560	4.29E-01	4.83E-02	4.91E-02	6.11E-01	3.04E-01	-5.94E-01		
EW033_RS04565	1.79E-01	3.75E-01	3.90E-01	3.50E-01	4.04E-01	-3.94E-01		
EW033_RS04575	3.93E-01	8.41E-02	8.17E-02	5.50E-01	3.10E-01	-5.48E-01		
EW033_RS04580	8.21E-01	1.63E-01	2.31E-01	4.86E-01	4.01E-01	-7.31E-01		
EW033_RS04585	3.57E-02	7.72E-01	8.38E-01	1.73E-01	8.39E-01	-3.38E-01		
EW033_RS04595	7.14E-02	3.45E-01	2.32E-01	7.21E-01	5.97E-01	-3.83E-01		
EW033_RS04605	3.93E-01	5.44E-02	5.78E-02	5.98E-01	3.08E-01	-5.67E-01		
EW033_RS04610	3.21E-01	1.07E-01	1.14E-01	5.24E-01	3.26E-01	-5.00E-01		
EW033_RS04615	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04620	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS04625	1.07E-01	3.61E-01	2.29E-01	6.05E-01	4.97E-01	-3.97E-01		
EW033_RS04630	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS04635	1.43E-01	4.78E-01	5.31E-01	2.80E-01	4.43E-01	-3.72E-01		
EW033_RS04640	2.14E-01	3.84E-01	4.00E-01	3.20E-01	3.77E-01	-4.00E-01		
EW033_RS04650	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04655	1.25E-01	8.53E-01	8.72E-01	7.63E-02	4.71E-01	-3.41E-01		
EW033_RS04665	3.93E-01	1.03E-01	9.36E-02	5.30E-01	3.11E-01	-5.40E-01		
EW033_RS04670	4.29E-01	3.99E-02	4.02E-02	6.36E-01	3.03E-01	-6.04E-01		
EW033_RS04675	7.14E-02	9.80E-01	9.76E-01	1.84E-02	6.05E-01	-3.33E-01		
EW033_RS04680	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04685	1.79E-01	8.52E-01	8.71E-01	6.64E-02	4.07E-01	-3.44E-01		
EW033_RS04690	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04695	3.57E-02	7.72E-01	8.38E-01	1.73E-01	8.39E-01	-3.38E-01		
EW033_RS04705	7.86E-01	1.16E-01	1.48E-01	5.47E-01	3.72E-01	-7.61E-01		
EW033_RS04710	1.25E-01	3.55E-01	3.75E-01	4.18E-01	4.67E-01	-3.84E-01		
EW033_RS04730	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04735	2.32E-01	1.69E-01	1.64E-01	5.11E-01	3.62E-01	-4.50E-01		
EW033_RS04740	3.57E-02	7.72E-01	8.38E-01	1.73E-01	8.39E-01	-3.38E-01		
EW033_RS04745	3.57E-02	7.13E-01	4.06E-01	6.99E-01	8.34E-01	-3.57E-01		
EW033_RS04750	4.64E-01	8.85E-01	8.85E-01	4.54E-02	3.12E-01	-3.53E-01		
EW033_RS04755	1.79E-01	5.51E-01	5.34E-01	2.54E-01	4.05E-01	-3.77E-01		
EW033_RS04760	2.14E-01	2.10E-01	1.91E-01	4.94E-01	3.74E-01	-4.38E-01		
EW033_RS04765	3.57E-02	2.16E-01	3.49E-01	7.86E-01	8.32E-01	-3.60E-01		
EW033_RS04770	3.57E-02	7.72E-01	8.38E-01	1.73E-01	8.39E-01	-3.38E-01		
EW033_RS04780	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04785	5.18E-01	4.75E-03	4.77E-03	8.52E-01	2.89E-01	-7.73E-01		
EW033_RS04790	7.14E-02	3.45E-01	2.32E-01	7.21E-01	5.97E-01	-3.83E-01		
EW033_RS04815	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04820	3.04E-01	3.64E-01	3.83E-01	2.96E-01	3.36E-01	-4.22E-01		
EW033_RS04825	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04830	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04835	6.79E-01	1.46E-01	1.42E-01	4.88E-01	3.27E-01	-6.63E-01		
EW033_RS04840	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04845	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04850	7.14E-02	1.09E-02	1.02E-01	9.81E-01	5.90E-01	-4.02E-01		
EW033_RS04855	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04865	5.71E-01	8.14E-01	8.11E-01	7.54E-02	3.15E-01	-3.75E-01		
EW033_RS04870	3.93E-01	8.28E-03	7.59E-03	8.28E-01	2.98E-01	-6.57E-01		
EW033_RS04875	5.00E-01	9.16E-01	9.16E-01	3.31E-02	3.11E-01	-3.48E-01		
EW033_RS04880	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04890	1.25E-01	8.74E-01	8.73E-01	7.55E-02	4.71E-01	-3.41E-01		
EW033_RS04895	1.43E-01	1.55E-01	7.26E-02	7.91E-01	4.32E-01	-4.45E-01		
EW033_RS04900	3.21E-01	2.89E-01	3.12E-01	3.37E-01	3.30E-01	-4.40E-01		
EW033_RS04905	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS04910	1.61E-01	9.63E-01	9.67E-01	1.75E-02	4.24E-01	-3.35E-01		
EW033_RS04915	2.50E-01	8.96E-01	9.00E-01	4.53E-02	3.60E-01	-3.43E-01		
EW033_RS04920	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04925	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS04930	4.46E-01	6.77E-02	6.69E-02	5.68E-01	3.04E-01	-5.85E-01		
EW033_RS04935	1.79E-01	9.83E-01	9.83E-01	8.84E-03	4.07E-01	-3.33E-01		
EW033_RS04940	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS04945	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04950	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS04960	7.14E-02	1.92E-01	4.11E-01	4.98E-01	6.01E-01	-3.67E-01		
EW033_RS04965	1.79E-01	1.71E-01	2.25E-01	4.92E-01	4.01E-01	-4.20E-01		
EW033_RS04970	2.86E-01	2.19E-02	3.35E-02	7.21E-01	3.30E-01	-5.38E-01		
EW033_RS04975	1.07E-01	1.24E-01	1.17E-01	7.83E-01	4.92E-01	-4.16E-01		
EW033_RS04980	5.00E-01	2.46E-02	2.46E-02	6.87E-01	2.97E-01	-6.75E-01		
EW033_RS05100	3.57E-02	3.34E-01	3.97E-01	-7.12E-01	8.34E-01	-3.06E-01		
EW033_RS05105	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS05115	2.50E-01	2.12E-01	1.56E-01	5.08E-01	3.53E-01	-4.59E-01		
EW033_RS05120	4.29E-01	1.20E-02	1.14E-02	7.77E-01	2.96E-01	-6.65E-01		
EW033_RS05125	1.79E-01	3.39E-01	3.65E-01	3.68E-01	4.04E-01	-3.98E-01		
EW033_RS05135	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS05140	3.93E-01	8.41E-02	8.17E-02	5.50E-01	3.10E-01	-5.48E-01		
EW033_RS05145	3.75E-01	6.39E-02	6.57E-02	5.86E-01	3.12E-01	-5.51E-01		
EW033_RS05150	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS05155	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS05165	2.68E-01	4.79E-01	4.91E-01	2.43E-01	3.50E-01	-3.97E-01		
EW033_RS05170	2.50E-01	5.80E-01	6.12E-01	1.83E-01	3.59E-01	-3.78E-01		
EW033_RS05175	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS05185	1.07E-01	9.99E-01	9.99E-01	8.00E-04	5.04E-01	-3.32E-01		
EW033_RS05190	1.43E-01	6.02E-01	5.89E-01	2.41E-01	4.44E-01	-3.66E-01		
EW033_RS05195	4.29E-01	4.67E-02	5.09E-02	6.06E-01	3.04E-01	-5.92E-01		
EW033_RS05200	2.50E-01	5.80E-01	6.12E-01	1.83E-01	3.59E-01	-3.78E-01		
EW033_RS05205	3.21E-01	2.74E-01	2.96E-01	3.49E-01	3.30E-01	-4.44E-01		
EW033_RS05220	5.71E-01	4.80E-01	4.68E-01	2.29E-01	3.13E-01	-4.63E-01		
EW033_RS05225	3.57E-02	8.88E-01	7.30E-01	2.91E-01	8.38E-01	-3.42E-01		
EW033_RS05235	1.79E-01	9.83E-01	9.83E-01	8.84E-03	4.07E-01	-3.33E-01		
EW033_RS05245	3.57E-02	7.72E-01	8.38E-01	1.73E-01	8.39E-01	-3.38E-01		
EW033_RS05250	3.57E-02	8.72E-01	7.66E-01	2.51E-01	8.39E-01	-3.41E-01		
EW033_RS05260	2.50E-01	1.88E-01	1.49E-01	5.17E-01	3.53E-01	-4.61E-01		
EW033_RS05265	3.39E-01	6.75E-01	6.57E-01	-1.46E-01	3.28E-01	-2.82E-01		
EW033_RS05270	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS05275	2.50E-01	1.00E-01	8.77E-02	6.09E-01	3.50E-01	-4.84E-01		
EW033_RS05280	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS05285	4.29E-01	4.67E-02	5.09E-02	6.06E-01	3.04E-01	-5.92E-01		
EW033_RS05300	2.50E-01	2.65E-01	2.29E-01	-4.32E-01	3.55E-01	-2.24E-01		
EW033_RS05305	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS05320	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS05325	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS05330	1.07E-01	8.54E-01	8.16E-01	1.18E-01	5.03E-01	-3.44E-01		
EW033_RS05335	1.43E-01	9.81E-01	9.81E-01	1.08E-02	4.45E-01	-3.33E-01		
EW033_RS05340	5.18E-01	2.70E-02	2.74E-02	6.75E-01	2.98E-01	-6.82E-01		
EW033_RS05345	1.43E-01	4.78E-01	5.31E-01	2.80E-01	4.43E-01	-3.72E-01		
EW033_RS05360	1.79E-01	1.97E-01	1.61E-01	5.68E-01	3.99E-01	-4.33E-01		
EW033_RS05365	3.57E-01	2.06E-01	1.94E-01	4.21E-01	3.20E-01	-4.82E-01		
EW033_RS05370	3.93E-01	1.06E-01	1.04E-01	5.14E-01	3.11E-01	-5.34E-01		
EW033_RS05375	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS05380	2.50E-01	5.80E-01	6.12E-01	1.83E-01	3.59E-01	-3.78E-01		
EW033_RS05385	5.18E-01	1.70E-02	1.70E-02	7.28E-01	2.96E-01	-7.09E-01		
EW033_RS05390	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS05395	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS05400	4.29E-01	4.67E-02	5.09E-02	6.06E-01	3.04E-01	-5.92E-01		
EW033_RS05405	1.61E-01	6.29E-01	6.66E-01	1.84E-01	4.23E-01	-3.61E-01		
EW033_RS05410	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS05415	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS05420	1.07E-01	2.68E-01	2.64E-01	5.62E-01	4.98E-01	-3.92E-01		
EW033_RS05430	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS05435	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS05440	7.14E-02	5.95E-01	5.99E-01	3.19E-01	6.03E-01	-3.55E-01		
EW033_RS05465	3.93E-01	8.41E-02	8.17E-02	5.50E-01	3.10E-01	-5.48E-01		
EW033_RS05470	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS05475	1.79E-01	9.83E-01	9.83E-01	8.84E-03	4.07E-01	-3.33E-01		
EW033_RS05480	8.21E-01	1.63E-01	2.31E-01	4.86E-01	4.01E-01	-7.31E-01		
EW033_RS05485	3.57E-01	9.28E-02	1.05E-01	5.23E-01	3.17E-01	-5.19E-01		
EW033_RS05490	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS05495	1.43E-01	8.76E-01	8.74E-01	7.11E-02	4.45E-01	-3.42E-01		
EW033_RS05500	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS05505	2.14E-01	9.04E-01	9.10E-01	4.30E-02	3.79E-01	-3.41E-01		
EW033_RS05510	3.57E-01	2.61E-01	2.57E-01	3.68E-01	3.21E-01	-4.63E-01		
EW033_RS05515	4.82E-01	3.43E-01	3.42E-01	2.97E-01	3.09E-01	-4.75E-01		
EW033_RS05520	7.14E-01	1.63E-01	2.02E-01	4.38E-01	3.40E-01	-6.45E-01		
EW033_RS05525	4.82E-01	4.13E-02	4.10E-02	6.28E-01	3.00E-01	-6.34E-01		
EW033_RS05530	4.64E-01	2.61E-02	2.54E-02	6.85E-01	2.98E-01	-6.50E-01		
EW033_RS05535	3.57E-01	3.18E-02	2.59E-02	7.11E-01	3.10E-01	-5.86E-01		
EW033_RS05540	1.43E-01	9.81E-01	9.81E-01	1.08E-02	4.45E-01	-3.33E-01		
EW033_RS05545	4.29E-01	6.56E-01	6.56E-01	-1.41E-01	3.14E-01	-2.72E-01		
EW033_RS05550	1.07E-01	9.99E-01	9.99E-01	8.00E-04	5.04E-01	-3.32E-01		
EW033_RS05560	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS05565	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS05570	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS05575	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS05580	1.07E-01	3.91E-01	3.72E-01	4.50E-01	5.00E-01	-3.80E-01		
EW033_RS05585	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS05590	3.57E-01	2.66E-01	2.77E-01	3.53E-01	3.21E-01	-4.58E-01		
EW033_RS05595	1.79E-01	2.09E-01	2.00E-01	5.19E-01	4.00E-01	-4.25E-01		
EW033_RS05605	3.57E-02	2.16E-01	3.49E-01	7.86E-01	8.32E-01	-3.60E-01		
EW033_RS05610	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS05615	2.50E-01	2.08E-01	2.15E-01	4.45E-01	3.55E-01	-4.43E-01		
EW033_RS05620	6.61E-01	4.84E-01	5.01E-01	-2.22E-01	3.28E-01	-1.85E-01		
EW033_RS05630	1.43E-01	6.02E-01	5.89E-01	2.41E-01	4.44E-01	-3.66E-01		
EW033_RS05645	5.36E-01	2.33E-02	2.32E-02	6.95E-01	2.98E-01	-7.04E-01		
EW033_RS05650	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS05655	4.29E-01	8.57E-02	8.29E-02	5.41E-01	3.06E-01	-5.64E-01		
EW033_RS05660	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS05665	3.75E-01	9.10E-02	1.05E-01	5.18E-01	3.14E-01	-5.26E-01		
EW033_RS05670	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS05675	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS05680	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS05685	3.57E-02	9.83E-01	9.66E-01	3.63E-02	8.39E-01	-3.33E-01		
EW033_RS05690	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS05695	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS05700	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS05715	8.93E-02	7.14E-01	7.72E-01	1.59E-01	5.46E-01	-3.46E-01		
EW033_RS05720	8.93E-02	8.22E-02	3.15E-01	5.49E-01	5.41E-01	-3.81E-01		
EW033_RS05725	3.57E-01	4.84E-02	5.52E-02	6.15E-01	3.14E-01	-5.52E-01		
EW033_RS05735	2.50E-01	2.57E-02	3.33E-02	7.53E-01	3.45E-01	-5.20E-01		
EW033_RS05740	3.04E-01	3.77E-01	3.75E-01	3.01E-01	3.36E-01	-4.23E-01		
EW033_RS05745	2.86E-01	3.12E-01	2.89E-01	3.66E-01	3.41E-01	-4.36E-01		
EW033_RS05750	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS05760	3.21E-01	3.09E-02	3.83E-02	6.80E-01	3.20E-01	-5.51E-01		
EW033_RS05765	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS05770	2.14E-01	9.04E-01	9.10E-01	4.30E-02	3.79E-01	-3.41E-01		
EW033_RS05780	3.21E-01	7.53E-02	7.10E-02	5.96E-01	3.23E-01	-5.23E-01		
EW033_RS05790	4.29E-01	4.83E-02	4.91E-02	6.11E-01	3.04E-01	-5.94E-01		
EW033_RS05795	4.11E-01	9.74E-02	9.98E-02	5.17E-01	3.09E-01	-5.44E-01		
EW033_RS05800	2.14E-01	9.04E-01	9.10E-01	4.30E-02	3.79E-01	-3.41E-01		
EW033_RS05805	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS05810	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS05815	3.21E-01	2.52E-01	2.51E-01	3.82E-01	3.29E-01	-4.55E-01		
EW033_RS05820	3.93E-01	8.41E-02	8.17E-02	5.50E-01	3.10E-01	-5.48E-01		
EW033_RS05825	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS05830	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS05835	1.79E-01	2.60E-01	2.38E-01	4.79E-01	4.01E-01	-4.17E-01		
EW033_RS05840	1.43E-01	9.97E-02	1.36E-01	6.60E-01	4.36E-01	-4.26E-01		
EW033_RS05845	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS05850	4.29E-01	8.57E-02	8.29E-02	5.41E-01	3.06E-01	-5.64E-01		
EW033_RS05855	4.29E-01	8.57E-02	8.29E-02	5.41E-01	3.06E-01	-5.64E-01		
EW033_RS05860	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS05865	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS05870	7.14E-02	4.38E-01	2.21E-01	7.38E-01	5.96E-01	-3.85E-01		
EW033_RS05875	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS05880	4.11E-01	2.75E-02	2.99E-02	6.76E-01	3.03E-01	-6.09E-01		
EW033_RS05885	2.50E-01	2.26E-01	2.22E-01	4.38E-01	3.55E-01	-4.41E-01		
EW033_RS05890	4.46E-01	3.93E-02	3.90E-02	6.37E-01	3.01E-01	-6.16E-01		
EW033_RS05895	4.29E-01	4.67E-02	5.09E-02	6.06E-01	3.04E-01	-5.92E-01		
EW033_RS05900	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS05905	7.14E-02	9.80E-01	9.76E-01	1.84E-02	6.05E-01	-3.33E-01		
EW033_RS05910	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS05920	3.21E-01	2.39E-01	2.58E-01	3.77E-01	3.29E-01	-4.53E-01		
EW033_RS05935	3.21E-01	2.39E-01	2.58E-01	3.77E-01	3.29E-01	-4.53E-01		
EW033_RS05940	2.86E-01	5.95E-01	6.14E-01	1.74E-01	3.44E-01	-3.82E-01		
EW033_RS05945	4.29E-01	4.67E-02	5.09E-02	6.06E-01	3.04E-01	-5.92E-01		
EW033_RS05950	2.68E-01	7.42E-01	7.58E-01	1.09E-01	3.51E-01	-3.61E-01		
EW033_RS05955	3.57E-02	7.72E-01	8.38E-01	1.73E-01	8.39E-01	-3.38E-01		
EW033_RS05960	3.93E-01	2.19E-01	2.18E-01	3.92E-01	3.14E-01	-4.86E-01		
EW033_RS05965	3.93E-01	8.41E-02	8.17E-02	5.50E-01	3.10E-01	-5.48E-01		
EW033_RS05970	3.57E-01	3.06E-01	3.24E-01	3.20E-01	3.22E-01	-4.46E-01		
EW033_RS05980	4.29E-01	8.57E-02	8.29E-02	5.41E-01	3.06E-01	-5.64E-01		
EW033_RS05985	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS05990	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
